Country Name,GDP per Capita (PPP USD),Population Density (persons per sq km),Population Growth Rate (%),Urban Population (%),Life Expectancy at Birth (avg years),Fertility Rate (births per woman),Infant Mortality (deaths per 1000 births),"Enrolment Rate, Tertiary (%)","Unemployment, Total (%)",Estimated Control of Corruption (scale -2.5 to 2.5),Estimated Government Effectiveness (scale -2.5 to 2.5),Internet Users (%)
Afghanistan,1560.67,44.62,2.44,23.86,60.07,5.39,71,3.33,8.5,-1.41,-1.4,5.45
Albania,9403.43,115.11,0.26,54.45,77.16,1.75,15,54.85,14.2,-0.72,-0.28,54.66
Algeria,8515.35,15.86,1.89,73.71,70.75,2.83,25.6,31.46,10,-0.54,-0.55,15.23
Antigua and Barbuda,19640.35,200.35,1.03,29.87,75.5,2.12,9.2,14.37,8.4,1.29,0.48,83.79
Argentina,12016.2,14.88,0.88,92.64,75.84,2.2,12.7,74.83,7.2,-0.49,-0.25,55.8
Armenia,8416.82,104.08,0.17,64.16,74.33,1.74,14.7,48.94,18.4,-0.62,-0.04,39.16
Australia,44597.83,2.91,1.6,89.34,81.85,1.87,4.1,83.24,5.2,2,1.61,82.35
Austria,43661.15,102.22,0.46,67.88,81.03,1.42,3.3,71,4.3,1.35,1.66,81
Azerbaijan,10125.23,110.98,1.35,53.89,70.55,1.92,38.5,19.65,5.2,-1.13,-0.79,54.2
Bahrain,24590.49,1701.01,1.92,88.76,76.4,2.12,8.2,33.46,1.1,0.39,0.65,88
Bangladesh,1883.05,1174.33,1.19,28.89,69.89,2.24,33.1,13.15,5,-0.87,-0.83,6.3
Barbados,26487.77,655.36,0.5,44.91,74.97,1.84,16.9,60.84,11.6,1.66,1.45,73.33
Belgium,39751.48,364.85,0.85,97.51,80.49,1.84,3.4,69.26,7.5,1.55,1.59,82
Belize,7936.84,13.87,2.43,44.59,73.49,2.74,15.7,21.37,8.2,0.01,-0.18,25
Benin,1557.16,86.73,2.73,45.56,58.94,5.21,58.5,12.37,0.7,-0.92,-0.53,3.8
Bhutan,6590.69,19,1.68,36.34,67.28,2.32,35.7,8.74,2.1,0.82,0.48,25.43
Bolivia,5195.58,9.53,1.65,67.22,66.63,3.31,39.3,37.69,3.4,-0.7,-0.37,34.19
Bosnia and Herzegovina,9392.47,75.28,-0.14,48.81,75.96,1.25,6.7,37.74,28.1,-0.3,-0.47,65.36
Brazil,11715.7,23.28,0.87,84.87,73.35,1.81,12.9,25.63,6.7,-0.07,-0.12,49.85
Brunei,52482.33,77.14,1.4,76.32,78.07,2.03,6.7,24.34,4.7,0.64,0.83,60.27
Bulgaria,15932.63,67.69,-0.6,73.64,74.16,1.51,10.5,59.63,11.2,-0.24,0.14,55.15
Burkina Faso,1512.97,58.46,2.86,27.35,55.44,5.78,65.8,4.56,3.3,-0.52,-0.63,3.73
Burundi,551.27,371.51,3.19,11.21,53.14,6.21,66.9,3.17,0.5,-1.12,-1.33,1.22
Cambodia,2494.39,82.74,1.76,20.19,62.98,2.93,33.9,14.5,0.2,-1.04,-0.83,4.94
Cameroon,2311.68,44.76,2.54,52.66,54.14,4.94,61.1,11.91,3.8,-1.24,-0.88,5.7
Canada,42533.4,3.79,1.14,80.77,81.07,1.63,4.7,59.99,7.4,1.92,1.75,86.77
Cape Verde,4430.12,121.73,0.78,63.32,73.92,2.34,18.9,20.61,23,0.81,0.1,34.74
Chad,1492.87,9.59,3,21.92,50.24,6.49,89.4,2.25,0.7,-1.25,-1.49,2.1
Chile,22362.55,23.28,0.9,89.35,79.31,1.84,7.8,70.52,6.4,1.56,1.17,61.42
China,9083.2,144.1,0.49,51.78,75.04,1.66,12.1,26.79,4.1,-0.48,0.01,42.3
Colombia,10435.99,42.43,1.32,75.57,73.57,2.35,15.1,42.9,11.6,-0.43,0.01,48.98
Comoros,1209.79,376.26,2.44,28.17,60.43,4.85,57.7,11.42,20,-0.73,-1.55,5.98
Costa Rica,12733.43,92.79,1.42,65.1,79.32,1.83,8.6,42.98,7.8,0.58,0.49,47.5
Croatia,20963.62,76.49,-0.32,58.11,76.88,1.46,4,58.81,15.8,-0.04,0.55,63
Cyprus,30768.33,120.83,1.11,70.71,79.47,1.47,2.5,46.54,11.8,1.24,1.38,61
Czech Republic,26697.55,135.89,0.18,73.42,77.87,1.43,3.2,64.58,7,0.23,0.92,75
Denmark,42086.1,131.29,0.36,87.07,79.8,1.75,3.1,73.58,7.6,2.42,1.97,93
Djibouti,2783.85,36.52,1.52,77.16,60.8,3.53,65.7,4.92,59.5,-0.3,-1.1,8.27
Dominica,12426.1,95.2,0.4,67.3,76.6,1.9,11.5,7.22,11,0.74,0.66,55.18
Dominican Republic,10038.06,210.01,1.26,70.21,73.01,2.54,22.8,34,14.7,-0.83,-0.55,45
Ecuador,9637.08,61.39,1.6,67.98,75.92,2.62,19.8,39.84,4.2,-0.66,-0.51,35.13
Egypt,6723.28,79.76,1.66,43.7,70.68,2.85,18,28.75,12.7,-0.57,-0.77,44.07
El Salvador,6991.04,301.94,0.66,65.25,71.87,2.24,13.1,24.52,6.1,-0.38,-0.14,25.5
Equatorial Guinea,29742.48,25.53,2.8,39.69,52.08,5.04,72.2,3.28,24.2,-1.56,-1.65,13.94
Eritrea,557.07,58.74,3.28,21.83,61.71,4.88,46.3,2.35,14.5,-0.65,-1.51,0.8
Estonia,23064.82,31.61,-0.04,69.57,76.13,1.52,2.9,71.65,10.1,0.98,1.2,79
Ethiopia,1138.73,89.39,2.58,17.28,62.25,4.77,46.5,7.64,17,-0.6,-0.44,1.48
Fiji,4876.89,47.51,0.78,52.63,69.56,2.64,14.1,61.93,8.7,-0.49,-0.9,33.74
Finland,38271.42,17.73,0.48,83.82,80.47,1.83,2.4,95.54,7.7,2.22,2.21,91
France,36104.09,119.37,0.5,86.26,81.67,2.03,3.4,57.06,9.9,1.42,1.33,83
Gabon,15764.65,6.19,2.39,86.46,62.69,4.18,42.4,7.24,17.8,-0.55,-0.87,8.62
